AES67 for macOS	AES67 per a macOS	AES67 para macOS
Choose what this machine should have. A tick installs; taking one away removes that application.	Tria què ha de tenir aquesta màquina. Una marca instal·la; treure-la desinstal·la aquella aplicació.	Elige qué debe tener esta máquina. Una marca instala; quitarla desinstala esa aplicación.
installed	instal·lada	instalada
The Manager carries the audio driver and the PTP daemon and puts them down itself, from its own window, once it is installed.	El Manager porta el driver d'àudio i el dimoni PTP i els instal·la ell mateix, des de la seva finestra, un cop instal·lat.	El Manager lleva el driver de audio y el demonio PTP y los instala él mismo, desde su ventana, una vez instalado.
Remove everything	Treu-ho tot	Quitarlo todo
Quit	Surt	Salir
Remove AES67 from this Mac	Treu AES67 d'aquest Mac	Quitar AES67 de este Mac
This removes:	Això treu:	Esto quita:
Also remove AES67Manager.app and AES67Controller.app from Applications	Treu també AES67Manager.app i AES67Controller.app d'Aplicacions	Quitar también AES67Manager.app y AES67Controller.app de Aplicaciones
Core Audio is restarted at the end, which is what makes the device disappear. An administrator password is asked for once.	Al final es reinicia Core Audio, que és el que fa desaparèixer el dispositiu. Es demana una contrasenya d'administrador una sola vegada.	Al final se reinicia Core Audio, que es lo que hace desaparecer el dispositivo. Se pide una contraseña de administrador una sola vez.
